T,M,D,K,C,Val,DK,DKC
6,1,C1,P3,S6,4.793465209301,"C1,P3","C1,P3,S6"
6,1,C2,P3,S1,-995.206534790699,"C2,P3","C2,P3,S1"
6,1,C2,P3,S4,-995.206534790699,"C2,P3","C2,P3,S4"
6,1,C2,P3,S6,4.793465209301,"C2,P3","C2,P3,S6"
6,2,C1,P3,S1,4.793465209301,"C1,P3","C1,P3,S1"
6,2,C1,P3,S4,-995.206534790699,"C1,P3","C1,P3,S4"
6,2,C1,P3,S6,4.793465209301,"C1,P3","C1,P3,S6"
6,2,C2,P3,S1,-995.206534790699,"C2,P3","C2,P3,S1"
6,2,C2,P3,S4,-995.206534790699,"C2,P3","C2,P3,S4"
6,2,C2,P3,S6,4.793465209301,"C2,P3","C2,P3,S6"
6,3,C1,P3,S1,4.793465209301,"C1,P3","C1,P3,S1"
6,3,C1,P3,S4,-995.206534790699,"C1,P3","C1,P3,S4"
6,3,C1,P3,S6,4.793465209301,"C1,P3","C1,P3,S6"
6,3,C2,P3,S1,-995.206534790699,"C2,P3","C2,P3,S1"
6,3,C2,P3,S4,-995.206534790699,"C2,P3","C2,P3,S4"
6,3,C2,P3,S6,4.793465209301,"C2,P3","C2,P3,S6"
6,4,C1,P3,S1,4.793465209301,"C1,P3","C1,P3,S1"
6,4,C1,P3,S4,-995.206534790699,"C1,P3","C1,P3,S4"
6,4,C1,P3,S6,4.793465209301,"C1,P3","C1,P3,S6"
6,4,C2,P3,S1,-995.206534790699,"C2,P3","C2,P3,S1"
6,4,C2,P3,S4,-995.206534790699,"C2,P3","C2,P3,S4"
6,4,C2,P3,S6,4.793465209301,"C2,P3","C2,P3,S6"
7,0,C1,P3,S1,5.72553055720799,"C1,P3","C1,P3,S1"
7,0,C1,P3,S4,-994.274469442792,"C1,P3","C1,P3,S4"
7,0,C1,P3,S6,5.72553055720799,"C1,P3","C1,P3,S6"
7,0,C2,P3,S1,-994.274469442792,"C2,P3","C2,P3,S1"
7,0,C2,P3,S4,-994.274469442792,"C2,P3","C2,P3,S4"
7,0,C2,P3,S6,5.72553055720799,"C2,P3","C2,P3,S6"
7,1,C1,P3,S1,5.72553055720799,"C1,P3","C1,P3,S1"
7,1,C1,P3,S4,-994.274469442792,"C1,P3","C1,P3,S4"
7,1,C1,P3,S6,5.72553055720799,"C1,P3","C1,P3,S6"
7,1,C2,P3,S1,-994.274469442792,"C2,P3","C2,P3,S1"
7,1,C2,P3,S4,-994.274469442792,"C2,P3","C2,P3,S4"
7,1,C2,P3,S6,5.72553055720799,"C2,P3","C2,P3,S6"
7,2,C1,P3,S1,5.72553055720799,"C1,P3","C1,P3,S1"
7,2,C1,P3,S4,-994.274469442792,"C1,P3","C1,P3,S4"
7,2,C1,P3,S6,5.72553055720799,"C1,P3","C1,P3,S6"
7,2,C2,P3,S1,-994.274469442792,"C2,P3","C2,P3,S1"
7,2,C2,P3,S4,-994.274469442792,"C2,P3","C2,P3,S4"
7,2,C2,P3,S6,5.72553055720799,"C2,P3","C2,P3,S6"
7,3,C1,P3,S1,5.72553055720799,"C1,P3","C1,P3,S1"
7,3,C1,P3,S4,-994.274469442792,"C1,P3","C1,P3,S4"
7,3,C1,P3,S6,5.72553055720799,"C1,P3","C1,P3,S6"
7,3,C2,P3,S1,-994.274469442792,"C2,P3","C2,P3,S1"
7,3,C2,P3,S4,-994.274469442792,"C2,P3","C2,P3,S4"
7,3,C2,P3,S6,5.72553055720799,"C2,P3","C2,P3,S6"
7,4,C1,P3,S1,5.72553055720799,"C1,P3","C1,P3,S1"
7,4,C1,P3,S4,-994.274469442792,"C1,P3","C1,P3,S4"
7,4,C1,P3,S6,5.72553055720799,"C1,P3","C1,P3,S6"
7,4,C2,P3,S1,-994.274469442792,"C2,P3","C2,P3,S1"
7,4,C2,P3,S4,-994.274469442792,"C2,P3","C2,P3,S4"
7,4,C2,P3,S6,5.72553055720799,"C2,P3","C2,P3,S6"
8,0,C1,P3,S1,6.64827525163591,"C1,P3","C1,P3,S1"
8,0,C1,P3,S4,-993.3517247483641,"C1,P3","C1,P3,S4"
8,0,C1,P3,S6,6.64827525163591,"C1,P3","C1,P3,S6"
8,0,C2,P3,S1,-993.3517247483641,"C2,P3","C2,P3,S1"
8,0,C2,P3,S4,-993.3517247483641,"C2,P3","C2,P3,S4"
8,0,C2,P3,S6,6.64827525163591,"C2,P3","C2,P3,S6"
8,1,C1,P3,S1,6.64827525163591,"C1,P3","C1,P3,S1"
8,1,C1,P3,S4,-993.3517247483641,"C1,P3","C1,P3,S4"
8,1,C1,P3,S6,6.64827525163591,"C1,P3","C1,P3,S6"
8,1,C2,P3,S1,-993.3517247483641,"C2,P3","C2,P3,S1"
8,1,C2,P3,S4,-993.3517247483641,"C2,P3","C2,P3,S4"
8,1,C2,P3,S6,6.64827525163591,"C2,P3","C2,P3,S6"
8,2,C1,P3,S1,6.64827525163591,"C1,P3","C1,P3,S1"
8,2,C1,P3,S4,-993.3517247483641,"C1,P3","C1,P3,S4"
8,2,C1,P3,S6,6.64827525163591,"C1,P3","C1,P3,S6"
8,2,C2,P3,S1,-993.3517247483641,"C2,P3","C2,P3,S1"
8,2,C2,P3,S4,-993.3517247483641,"C2,P3","C2,P3,S4"
8,2,C2,P3,S6,6.64827525163591,"C2,P3","C2,P3,S6"
8,3,C1,P3,S1,6.64827525163591,"C1,P3","C1,P3,S1"
8,3,C1,P3,S4,-993.3517247483641,"C1,P3","C1,P3,S4"
8,3,C1,P3,S6,6.64827525163591,"C1,P3","C1,P3,S6"
8,3,C2,P3,S1,-993.3517247483641,"C2,P3","C2,P3,S1"
8,3,C2,P3,S4,-993.3517247483641,"C2,P3","C2,P3,S4"
8,3,C2,P3,S6,6.64827525163591,"C2,P3","C2,P3,S6"
8,4,C1,P3,S1,6.64827525163591,"C1,P3","C1,P3,S1"
8,4,C1,P3,S4,-993.3517247483641,"C1,P3","C1,P3,S4"
8,4,C1,P3,S6,6.64827525163591,"C1,P3","C1,P3,S6"
8,4,C2,P3,S1,-993.3517247483641,"C2,P3","C2,P3,S1"
