T,M,D,K,C,Val,DK,DKC
4,1,C1,P3,S1,32.90099501,"C1,P3","C1,P3,S1"
4,1,C1,P3,S4,-947.09900499,"C1,P3","C1,P3,S4"
4,1,C1,P3,S6,17.90099501,"C1,P3","C1,P3,S6"
4,1,C2,P3,S1,-947.09900499,"C2,P3","C2,P3,S1"
4,1,C2,P3,S4,-932.09900499,"C2,P3","C2,P3,S4"
4,1,C2,P3,S6,27.90099501,"C2,P3","C2,P3,S6"
4,2,C1,P3,S1,32.90099501,"C1,P3","C1,P3,S1"
4,2,C1,P3,S4,-947.09900499,"C1,P3","C1,P3,S4"
4,2,C1,P3,S6,17.90099501,"C1,P3","C1,P3,S6"
4,2,C2,P3,S1,-947.09900499,"C2,P3","C2,P3,S1"
4,2,C2,P3,S4,-932.09900499,"C2,P3","C2,P3,S4"
4,2,C2,P3,S6,27.90099501,"C2,P3","C2,P3,S6"
4,3,C1,P3,S1,32.90099501,"C1,P3","C1,P3,S1"
4,3,C1,P3,S4,-947.09900499,"C1,P3","C1,P3,S4"
4,3,C1,P3,S6,17.90099501,"C1,P3","C1,P3,S6"
4,3,C2,P3,S1,-947.09900499,"C2,P3","C2,P3,S1"
4,3,C2,P3,S4,-932.09900499,"C2,P3","C2,P3,S4"
4,3,C2,P3,S6,27.90099501,"C2,P3","C2,P3,S6"
4,4,C1,P3,S1,32.90099501,"C1,P3","C1,P3,S1"
4,4,C1,P3,S4,-947.09900499,"C1,P3","C1,P3,S4"
4,4,C1,P3,S6,17.90099501,"C1,P3","C1,P3,S6"
4,4,C2,P3,S1,-947.09900499,"C2,P3","C2,P3,S1"
4,4,C2,P3,S4,-932.09900499,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,27.90099501,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,33.8519850599,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,-946.1480149401,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,18.8519850599,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-946.1480149401,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-931.1480149401,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,28.8519850599,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,33.8519850599,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-946.1480149401,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,18.8519850599,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-946.1480149401,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-931.1480149401,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,28.8519850599,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,33.8519850599,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,-946.1480149401,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,18.8519850599,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,-946.1480149401,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,-931.1480149401,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,28.8519850599,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,33.8519850599,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,-946.1480149401,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,18.8519850599,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,-946.1480149401,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,-931.1480149401,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,28.8519850599,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,33.8519850599,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,-946.1480149401,"C1,P3","C1,P3,S4"
5,4,C1,P3,S6,18.8519850599,"C1,P3","C1,P3,S6"
