T,M,D,K,C,Val,DK,DKC
5,0,C1,P3,S6,3.002652524747048,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-997.4024869376415,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-997.5082757366575,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,2.703301861375637,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,2.8818961925623947,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-996.5701465150871,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,2.987684991578531,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-997.4024869376411,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-997.5082757366584,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,2.7033018613755715,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,2.8818961925623254,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,-996.5701465150876,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,2.987684991578611,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,-997.4024869376409,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,-997.5082757366575,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,2.7033018613756177,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,2.8341401258542813,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,-996.601936014569,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,2.9452183648208408,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,-997.402486937641,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,-997.5082757366573,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,2.7033018613748103,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,2.8341401258542813,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,-996.601936014569,"C1,P3","C1,P3,S4"
5,4,C1,P3,S6,2.9452183648208408,"C1,P3","C1,P3,S6"
5,4,C2,P3,S1,-997.402486937641,"C2,P3","C2,P3,S1"
5,4,C2,P3,S4,-997.5082757366573,"C2,P3","C2,P3,S4"
5,4,C2,P3,S6,2.7033018613748103,"C2,P3","C2,P3,S6"
6,0,C1,P3,S1,3.8400957450076536,"C1,P3","C1,P3,S1"
6,0,C1,P3,S4,-995.3707724050014,"C1,P3","C1,P3,S4"
6,0,C1,P3,S6,3.980444581024755,"C1,P3","C1,P3,S6"
6,0,C2,P3,S1,-996.5474068807426,"C2,P3","C2,P3,S1"
6,0,C2,P3,S4,-996.687755716761,"C2,P3","C2,P3,S4"
6,0,C2,P3,S6,3.592941955275051,"C2,P3","C2,P3,S6"
6,1,C1,P3,S1,3.820720613719852,"C1,P3","C1,P3,S1"
6,1,C1,P3,S4,-995.5024707361767,"C1,P3","C1,P3,S4"
6,1,C1,P3,S6,3.961069449737337,"C1,P3","C1,P3,S6"
6,1,C2,P3,S1,-996.5474068807424,"C2,P3","C2,P3,S1"
6,1,C2,P3,S4,-996.6877557167602,"C2,P3","C2,P3,S4"
6,1,C2,P3,S6,3.592941955274944,"C2,P3","C2,P3,S6"
6,2,C1,P3,S1,3.8207206137201304,"C1,P3","C1,P3,S1"
6,2,C1,P3,S4,-995.5024707361777,"C1,P3","C1,P3,S4"
6,2,C1,P3,S6,3.9610694497372956,"C1,P3","C1,P3,S6"
6,2,C2,P3,S1,-996.5474068807431,"C2,P3","C2,P3,S1"
6,2,C2,P3,S4,-996.6877557167602,"C2,P3","C2,P3,S4"
6,2,C2,P3,S6,3.592941955274985,"C2,P3","C2,P3,S6"
6,3,C1,P3,S1,3.7730521405054747,"C1,P3","C1,P3,S1"
6,3,C1,P3,S4,-995.5188944976084,"C1,P3","C1,P3,S4"
6,3,C1,P3,S6,3.9204184183234374,"C1,P3","C1,P3,S6"
6,3,C2,P3,S1,-996.5474068807425,"C2,P3","C2,P3,S1"
6,3,C2,P3,S4,-996.6877557167604,"C2,P3","C2,P3,S4"
6,3,C2,P3,S6,3.592941955274334,"C2,P3","C2,P3,S6"
6,4,C1,P3,S1,3.7730521405054747,"C1,P3","C1,P3,S1"
6,4,C1,P3,S4,-995.5188944976084,"C1,P3","C1,P3,S4"
6,4,C1,P3,S6,3.9204184183234374,"C1,P3","C1,P3,S6"
6,4,C2,P3,S1,-996.5474068807425,"C2,P3","C2,P3,S1"
6,4,C2,P3,S4,-996.6877557167604,"C2,P3","C2,P3,S4"
