T,M,D,K,C,Val,Usage,Val_Adj
7,0,C1,P3,S4,4.731591374218749,1.0222222222222221,4.628730692170516
7,0,C1,P3,S6,4.731591374218749,0.13333333333333333,35.48693530664062
7,0,C2,P3,S1,4.731591374218749,1.0222222222222221,4.628730692170516
7,0,C2,P3,S4,4.731591374218749,1.1555555555555554,4.094646381535457
7,0,C2,P3,S6,4.731591374218749,0.2222222222222222,21.292161183984373
7,1,C1,P3,S1,5.305770821273142,0.26666666666666666,19.89664057977428
7,1,C1,P3,S4,-52.30073315503705,1.0222222222222221,-51.163760695144944
7,1,C1,P3,S6,5.2559149692661205,0.13333333333333333,39.419362269495906
7,1,C2,P3,S1,16.215180315306604,1.0222222222222221,15.862676395408636
7,1,C2,P3,S4,4.731591374218749,1.1555555555555554,4.094646381535457
7,1,C2,P3,S6,15.21806327516618,0.2222222222222222,68.48128473824782
7,2,C1,P3,S1,4.731591374218749,0.26666666666666666,17.74346765332031
7,2,C1,P3,S4,-43.48998833196039,1.0222222222222221,-42.54455380300473
7,2,C1,P3,S6,4.731591374218749,0.13333333333333333,35.48693530664062
7,2,C2,P3,S1,4.731591374218749,1.0222222222222221,4.628730692170516
7,2,C2,P3,S4,4.731591374218749,1.1555555555555554,4.094646381535457
7,2,C2,P3,S6,4.731591374218749,0.2222222222222222,21.292161183984373
7,3,C1,P3,S1,7.564877533457921,0.26666666666666666,28.368290750467203
7,3,C1,P3,S4,-66.97623175561213,1.0222222222222221,-65.52022671744666
7,3,C1,P3,S6,-32.24046601344658,0.13333333333333333,-241.80349510084935
7,3,C2,P3,S1,61.397314559002155,1.0222222222222221,60.06259032945864
7,3,C2,P3,S4,33.1908107399204,1.1555555555555554,28.72281698646958
7,3,C2,P3,S6,4.731591374218749,0.2222222222222222,21.292161183984373
7,4,C1,P3,S1,7.564877533457921,0.26666666666666666,28.368290750467203
7,4,C1,P3,S4,-66.97623175561213,1.0222222222222221,-65.52022671744666
7,4,C1,P3,S6,-32.24046601344658,0.13333333333333333,-241.80349510084935
7,4,C2,P3,S1,61.397314559002155,1.0222222222222221,60.06259032945864
7,4,C2,P3,S4,33.1908107399204,1.1555555555555554,28.72281698646958
7,4,C2,P3,S6,4.731591374218749,0.2222222222222222,21.292161183984373
8,0,C1,P3,S1,5.395011805507812,0.26666666666666666,20.231294270654296
8,0,C1,P3,S4,5.395011805507812,1.0222222222222221,5.277728940170686
8,0,C1,P3,S6,5.395011805507812,0.13333333333333333,40.46258854130859
8,0,C2,P3,S1,5.395011805507812,1.0222222222222221,5.277728940170686
8,0,C2,P3,S4,5.395011805507812,1.1555555555555554,4.668760216304838
8,0,C2,P3,S6,5.395011805507812,0.2222222222222222,24.277553124785154
8,1,C1,P3,S1,5.395011805507812,0.26666666666666666,20.231294270654296
8,1,C1,P3,S4,-47.698672919079,1.0222222222222221,-46.661745246925115
8,1,C1,P3,S6,123.87619494053043,0.13333333333333333,929.0714620539782
8,1,C2,P3,S1,5.395011805507812,1.0222222222222221,5.277728940170686
8,1,C2,P3,S4,44.78140985219768,1.1555555555555554,38.75314314132492
8,1,C2,P3,S6,5.395011805507812,0.2222222222222222,24.277553124785154
8,2,C1,P3,S1,5.395011805507812,0.26666666666666666,20.231294270654296
8,2,C1,P3,S4,-42.82656790067133,1.0222222222222221,-41.89555555500456
8,2,C1,P3,S6,5.395011805507812,0.13333333333333333,40.46258854130859
8,2,C2,P3,S1,5.395011805507812,1.0222222222222221,5.277728940170686
8,2,C2,P3,S4,5.395011805507812,1.1555555555555554,4.668760216304838
8,2,C2,P3,S6,5.395011805507812,0.2222222222222222,24.277553124785154
8,3,C1,P3,S1,5.395011805507812,0.26666666666666666,20.231294270654296
8,3,C1,P3,S4,-68.71389606041251,1.0222222222222221,-67.22011571127311
8,3,C1,P3,S6,-31.577045582157517,0.13333333333333333,-236.8278418661814
8,3,C2,P3,S1,5.395011805507812,1.0222222222222221,5.277728940170686
8,3,C2,P3,S4,9.843383810315258,1.1555555555555554,8.51831291277282
8,3,C2,P3,S6,5.395011805507812,0.2222222222222222,24.277553124785154
8,4,C1,P3,S1,5.395011805507812,0.26666666666666666,20.231294270654296
8,4,C1,P3,S4,-68.71389606041251,1.0222222222222221,-67.22011571127311
8,4,C1,P3,S6,-31.577045582157517,0.13333333333333333,-236.8278418661814
8,4,C2,P3,S1,5.395011805507812,1.0222222222222221,5.277728940170686
8,4,C2,P3,S4,9.843383810315258,1.1555555555555554,8.51831291277282
8,4,C2,P3,S6,5.395011805507812,0.2222222222222222,24.277553124785154
9,0,C1,P3,S1,6.025261215232421,0.26666666666666666,22.59472955712158
9,0,C1,P3,S4,7.449531952125984,1.0222222222222221,7.287585605340637
9,0,C1,P3,S6,6.025261215232421,0.13333333333333333,45.18945911424316
9,0,C2,P3,S1,6.025261215232421,1.0222222222222221,5.894277275770847
9,0,C2,P3,S4,6.025261215232421,1.1555555555555554,5.2141683593357495
9,0,C2,P3,S6,61.60659610754763,0.2222222222222222,277.2296824839644
9,1,C1,P3,S1,6.025261215232421,0.26666666666666666,22.59472955712158
9,1,C1,P3,S4,-51.007063314023384,1.0222222222222221,-49.89821411154462
9,1,C1,P3,S6,6.025261215232421,0.13333333333333333,45.18945911424316
9,1,C2,P3,S1,6.025261215232421,1.0222222222222221,5.894277275770847
9,1,C2,P3,S4,6.025261215232421,1.1555555555555554,5.2141683593357495
9,1,C2,P3,S6,6.025261215232421,0.2222222222222222,27.113675468545896
9,2,C1,P3,S1,6.025261215232421,0.26666666666666666,22.59472955712158
9,2,C1,P3,S4,-42.19631849094672,1.0222222222222221,-41.279007219404406
9,2,C1,P3,S6,6.025261215232421,0.13333333333333333,45.18945911424316
9,2,C2,P3,S1,6.025261215232421,1.0222222222222221,5.894277275770847
9,2,C2,P3,S4,6.025261215232421,1.1555555555555554,5.2141683593357495
9,2,C2,P3,S6,6.025261215232421,0.2222222222222222,27.113675468545896
9,3,C1,P3,S1,18.125939306569087,0.26666666666666666,67.97227239963408
9,3,C1,P3,S4,-2.621126853491324,1.0222222222222221,-2.564145834937165
9,3,C1,P3,S6,-30.94679617243291,0.13333333333333333,-232.10097129324683
9,3,C2,P3,S1,6.025261215232421,1.0222222222222221,5.894277275770847
9,3,C2,P3,S4,68.2447309450307,1.1555555555555554,59.05794024089195
9,3,C2,P3,S6,6.025261215232421,0.2222222222222222,27.113675468545896
9,4,C1,P3,S1,18.125939306569087,0.26666666666666666,67.97227239963408
9,4,C1,P3,S4,-2.621126853491324,1.0222222222222221,-2.564145834937165
9,4,C1,P3,S6,-30.94679617243291,0.13333333333333333,-232.10097129324683
9,4,C2,P3,S1,6.025261215232421,1.0222222222222221,5.894277275770847
9,4,C2,P3,S4,68.2447309450307,1.1555555555555554,59.05794024089195
9,4,C2,P3,S6,6.025261215232421,0.2222222222222222,27.113675468545896
10,0,C1,P3,S1,6.623998154470799,0.26666666666666666,24.839993079265497
10,0,C1,P3,S4,6.623998154470799,1.0222222222222221,6.4799981945909995
10,0,C1,P3,S6,6.623998154470799,0.13333333333333333,49.679986158530994
10,0,C2,P3,S1,6.623998154470799,1.0222222222222221,6.4799981945909995
10,0,C2,P3,S4,6.623998154470799,1.1555555555555554,5.732306095215115
10,0,C2,P3,S6,6.623998154470799,0.2222222222222222,29.8079916951186
10,1,C1,P3,S1,6.623998154470799,0.26666666666666666,24.839993079265497
10,1,C1,P3,S4,-50.408326374785005,1.0222222222222221,-49.31249319272447
10,1,C1,P3,S6,6.623998154470799,0.13333333333333333,49.679986158530994
10,1,C2,P3,S1,6.623998154470799,1.0222222222222221,6.4799981945909995
10,1,C2,P3,S4,6.623998154470799,1.1555555555555554,5.732306095215115
10,1,C2,P3,S6,6.623998154470799,0.2222222222222222,29.8079916951186
10,2,C1,P3,S1,6.623998154470799,0.26666666666666666,24.839993079265497
10,2,C1,P3,S4,-33.443640363095305,1.0222222222222221,-32.71660470302802
10,2,C1,P3,S6,6.623998154470799,0.13333333333333333,49.679986158530994
10,2,C2,P3,S1,6.623998154470799,1.0222222222222221,6.4799981945909995
10,2,C2,P3,S4,88.16341004060118,1.1555555555555554,76.29525868898179
10,2,C2,P3,S6,6.623998154470799,0.2222222222222222,29.8079916951186
10,3,C1,P3,S1,7.320041921137806,0.26666666666666666,27.450157204266773
10,3,C1,P3,S4,2.1436609537047566,1.0222222222222221,2.0970596286242187
10,3,C1,P3,S6,-29.401609568093612,0.13333333333333333,-220.5120717607021
10,3,C2,P3,S1,20.544873487810918,1.0222222222222221,20.098245803293292
10,3,C2,P3,S4,46.11750484675482,1.1555555555555554,39.90937919430706
10,3,C2,P3,S6,25.552991456489266,0.2222222222222222,114.9884615542017
10,4,C1,P3,S1,7.320041921137806,0.26666666666666666,27.450157204266773
10,4,C1,P3,S4,2.1436609537047566,1.0222222222222221,2.0970596286242187
10,4,C1,P3,S6,-29.401609568093612,0.13333333333333333,-220.5120717607021
10,4,C2,P3,S1,20.544873487810918,1.0222222222222221,20.098245803293292
10,4,C2,P3,S4,46.11750484675482,1.1555555555555554,39.90937919430706
10,4,C2,P3,S6,25.552991456489266,0.2222222222222222,114.9884615542017
