T,M,D,K,C,Val,DK,DKC
4,4,C2,P3,S4,66.66291616243619,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,26.80467550390062,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,32.8968637257309,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,53.53409006508713,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,18.00265252474705,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,52.59751306235857,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,67.49172426334242,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,27.703301861375635,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,32.881896192562394,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,53.4298534849129,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,17.987684991578533,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,52.59751306235886,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,67.49172426334158,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,27.70330186137557,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,32.88189619256232,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,53.429853484912385,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,17.98768499157861,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,52.59751306235911,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,67.49172426334249,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,27.703301861375618,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,32.83414012585428,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,53.398063985431044,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,17.94521836482084,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,52.597513062359,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,67.49172426334263,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,27.70330186137481,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,32.83414012585428,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,53.398063985431044,"C1,P3","C1,P3,S4"
5,4,C1,P3,S6,17.94521836482084,"C1,P3","C1,P3,S6"
5,4,C2,P3,S1,52.597513062359,"C2,P3","C2,P3,S1"
5,4,C2,P3,S4,67.49172426334263,"C2,P3","C2,P3,S4"
5,4,C2,P3,S6,27.70330186137481,"C2,P3","C2,P3,S6"
6,0,C1,P3,S1,33.84009574500765,"C1,P3","C1,P3,S1"
6,0,C1,P3,S4,54.629227594998575,"C1,P3","C1,P3,S4"
6,0,C1,P3,S6,18.980444581024756,"C1,P3","C1,P3,S6"
6,0,C2,P3,S1,53.452593119257386,"C2,P3","C2,P3,S1"
6,0,C2,P3,S4,68.312244283239,"C2,P3","C2,P3,S4"
6,0,C2,P3,S6,28.59294195527505,"C2,P3","C2,P3,S6"
6,1,C1,P3,S1,33.82072061371985,"C1,P3","C1,P3,S1"
6,1,C1,P3,S4,54.497529263823196,"C1,P3","C1,P3,S4"
6,1,C1,P3,S6,18.961069449737337,"C1,P3","C1,P3,S6"
6,1,C2,P3,S1,53.452593119257564,"C2,P3","C2,P3,S1"
6,1,C2,P3,S4,68.31224428323976,"C2,P3","C2,P3,S4"
6,1,C2,P3,S6,28.592941955274945,"C2,P3","C2,P3,S6"
6,2,C1,P3,S1,33.82072061372013,"C1,P3","C1,P3,S1"
6,2,C1,P3,S4,54.497529263822386,"C1,P3","C1,P3,S4"
6,2,C1,P3,S6,18.961069449737295,"C1,P3","C1,P3,S6"
6,2,C2,P3,S1,53.45259311925688,"C2,P3","C2,P3,S1"
6,2,C2,P3,S4,68.31224428323983,"C2,P3","C2,P3,S4"
6,2,C2,P3,S6,28.592941955274984,"C2,P3","C2,P3,S6"
6,3,C1,P3,S1,33.77305214050548,"C1,P3","C1,P3,S1"
6,3,C1,P3,S4,54.4811055023917,"C1,P3","C1,P3,S4"
6,3,C1,P3,S6,18.920418418323436,"C1,P3","C1,P3,S6"
6,3,C2,P3,S1,53.45259311925743,"C2,P3","C2,P3,S1"
6,3,C2,P3,S4,68.31224428323961,"C2,P3","C2,P3,S4"
6,3,C2,P3,S6,28.592941955274334,"C2,P3","C2,P3,S6"
6,4,C1,P3,S1,33.77305214050548,"C1,P3","C1,P3,S1"
6,4,C1,P3,S4,54.4811055023917,"C1,P3","C1,P3,S4"
6,4,C1,P3,S6,18.920418418323436,"C1,P3","C1,P3,S6"
6,4,C2,P3,S1,53.45259311925743,"C2,P3","C2,P3,S1"
6,4,C2,P3,S4,68.31224428323961,"C2,P3","C2,P3,S4"
6,4,C2,P3,S6,28.592941955274334,"C2,P3","C2,P3,S6"
7,0,C1,P3,S1,34.76953192195325,"C1,P3","C1,P3,S1"
7,0,C1,P3,S4,54.88354549730749,"C1,P3","C1,P3,S4"
7,0,C1,P3,S6,19.88354549730799,"C1,P3","C1,P3,S6"
7,0,C2,P3,S1,54.29912237558722,"C2,P3","C2,P3,S1"
